Name,staSeq,Report_Cou,Citation,Launch_Type,Proximity,Municipality,YLat,XLong,hydroID,GNIS_ID,GNIS_NAME,AREA_SQKM,ELEV,EF,featureID,NextDown,SqMi,CFPct85,CFPct90,CFPct95,CFPct02,CFPct06,CFPct10,CFPct15,DevPct85,DevPct90,DevPct95,DevPct02,DevPct06,DevPct10,DevPct15
Coventry (Wangumbaug) Lake,18153,3,"1,2,4",State of CT - Trailered,Deepest Point in Lake,COVENTRY,41.770584,-72.321969,201490114,212663,Wangumbaug Lake,1.52,515,Moderate,201490114,1410430640,3.550674,0.13010101,0.123131313,0.121313131,0.115757576,0.114747475,0.114141414,0.112424242,0.248686869,0.258383838,0.261212121,0.267373737,0.267777778,0.267777778,0.27020202
Crystal Lake,18154,3,"1,2,4",State of CT - Trailered,CL-1: Deepest Point In Lake,ELLINGTON,41.935883,-72.372335,201487781,206553,Crystal Lake,0.76,638,Low,201487781,604463085,3.065226,0.437170629,0.406722099,0.399812624,0.304368193,0.254596557,0.254596557,0.24897529,0.116992622,0.125307413,0.12682984,0.151071554,0.165241832,0.1660616,0.166647148
Highland Lake,18156,4,"1,2,4,5",State of CT - Trailered,HL-1: Deepest Point In Lake,WINCHESTER,41.911818,-73.09428,201490227,207823,Highland Lake,1.81,881,Moderate,201490227,1813411709,7.18926,0.398901922,0.387621662,0.383578737,0.374045421,0.355827302,0.361417519,0.358572498,0.121437484,0.126079361,0.126378837,0.127277265,0.129922635,0.129972548,0.129972548
Mount Tom Pond,18650,3,"1,2,4",State of CT - Car Top/Carry-In,"DH1, Deep hole",LITCHFIELD,41.70075,-73.2777,201493312,209096,Mount Tom Pond,0.22,879,Moderate,201493312,201493387,1.114407,0.333762887,0.333762887,0.330219072,0.333762887,0.333762887,0.312822165,0.314755155,0.092783505,0.094716495,0.095360825,0.096005155,0.09632732,0.09632732,0.09632732
Alexander Lake,18676,4,"1,2,3,4",NA,AL-1: Deepest Part of Lake-North,KILLINGLY,41.86169,-71.89953,201487988,205058,Alexander Lake,0.77,251,Moderate,201487988,201488225,1.877499,0.164438503,0.152597403,0.148204736,0.139228419,0.131779985,0.13197097,0.13197097,0.164056532,0.181436211,0.197669977,0.211611917,0.211993888,0.212184874,0.213903743
Pataganset Lake (East Lyme),18934,3,"1,2,4",State of CT - Trailered,"PAT-1, Deep Hole",EAST LYME,41.37493,-72.22935,201495016,209639,Pattagansett Lake,0.51,63,Moderate,201495016,1007474814,5.745085,0.400798852,0.374336891,0.351369906,0.326967484,0.294763777,0.297884291,0.280347001,0.126443238,0.145540785,0.15527679,0.171815515,0.185296137,0.18592024,0.194345628
Lake Waramaug,18947,4,"1,2,3,4",State of CT - Car Top/Carry-In,LKW-1 deep part of lake in eastern lobe north of town boat launch,WASHINGTON,41.69186,-73.34863,201493735,211809,Lake Waramaug,2.59,694,Moderate,201493735,4835841043,14.001148,0.478221881,0.454496541,0.443453754,0.439072508,0.433025878,0.423366641,0.431411735,0.072995132,0.075864719,0.07606969,0.076761466,0.078273123,0.078836792,0.078836792
Bantam Lake (Litchfield/Morris),18950,3,"1,2,4",State of CT - Trailered,BL-1 at deepest part of lake,MORRIS,41.69983,-73.22082,201493021,205246,Bantam Lake,3.87,894,Moderate,201493021,11082073530,32.473472,0.340269954,0.33144454,0.324717786,0.315163364,0.315958645,0.304174066,0.314412265,0.085514834,0.08976738,0.090474297,0.092219498,0.093081052,0.093125235,0.093589149
Lake Terramuggus (Marlborough),18953,3,"1,2,4",NA,TERR-1 at deepest part of lake,MARLBOROUGH,41.63612,-72.46783,201492224,211388,Lake Terramuggus,0.33,454,Moderate,201492224,201492561,0.648073,0.060908084,0.059246955,0.059800664,0.057585825,0.057585825,0.057585825,0.057585825,0.378737542,0.38593577,0.387043189,0.398671096,0.398671096,0.398671096,0.398671096
Long Pond,19334,4,"1,2,3,4",State of CT - Trailered,deep hole,NORTH STONINGTON,41.44948,-71.94939,201493458,208576,Long Pond,0.35,96,,201493458,1410453938,3.810945,0.555430077,0.53651421,0.520045172,0.511387164,0.47590815,0.48447205,0.476943347,0.072651986,0.079710145,0.085450781,0.087615283,0.087803501,0.08789761,0.088556371
Quonnipaug Lake,19356,3,"1,2,4",State of CT - Trailered,deep hole,GUILFORD,41.39256,-72.69741,201495554,210073,Quonnipaug Lake,0.39,181,,201490320,604470797,3.082948,0.101093532,0.094695207,0.08015356,0.093182876,0.097487203,0.08969288,0.096672871,0.153676128,0.159492787,0.15995812,0.161586785,0.166240112,0.166240112,0.16728711
Rogers Lake,19359,3,"1,2,4",State of CT - Trailered,deep hole,OLD LYME,41.36428,-72.30144,201495167,210284,Rogers Lake,1.11,36,,201495167,3022426083,8.149729,0.614012683,0.598203276,0.558789854,0.539061124,0.535494099,0.524793024,0.524616875,0.075127708,0.079002995,0.08041219,0.084111326,0.084859961,0.087282015,0.087282015
Lake Quassapaug (Middlebury),19662,4,"1,2,3,4",NA,QUS-1 Deepest part of lake in center,MIDDLEBURY,41.533623,-73.152379,201495084,210050,Lake Quassapaug,1.2,695,Moderate,201495084,604485321,2.524181,0.380830489,0.373577929,0.365614334,0.340017065,0.33447099,0.337883959,0.340301479,0.092718999,0.095136519,0.098976109,0.107935154,0.111774744,0.111774744,0.111916951
