"GNIS_ID","GNIS_Name","area_acre","area_buffe","building_acres","road_acres","other_impervious_acres","total_impervious_acres"
205058,"Alexander Lake",190,89,7.64344577643288,4.55089521408081,6.28295770702931,18.477298697543
211388,"Lake Terramuggus",81,45,2.05294623251671,1.71685087680817,2.18291015598516,5.95270726531003
1771346,"Halls Pond",83,53,0.372086994632597,1.36113905906677,1.36026051370209,3.09348656740146
212183,"Lake Winchester",248,122,0.561973424055097,0.669341742992401,2.99805397447199,4.22936914151948
211607,"Turkey Hill Reservoir",24,25,0,0.744229674339294,0,0.744229674339294
211112,"Squantz Pond",267,130,3.08913014897762,4.48050689697266,6.24198076144262,13.8116178073929
211651,"Uncas Pond",32,29,0.480454179224025,0.069343566894531,0.463515479117632,1.01331322523619
210654,"Saugatuck Reservoir",823,312,0.085268496017289,8.79895782470703,1.02677537496129,9.91100169568561
207712,"Hatch Pond",20,32,0.049641582842396,0.15369139611721,0.191930244676769,0.395263223636375
208934,"Millers Pond",30,33,0,0,0,0
212002,"West Thompson Lake",189,94,0.037238918726997,0.261152684688568,0.912810493260622,1.21120209667619
209357,"North Grosvenordale Pond",59,82,0.361508601626057,0,1.36042082309723,1.72192942472329
205612,"Bog Meadow Reservoir",91,82,0,0,0.012998048216105,0.012998048216105
209096,"Mount Tom Pond",55,39,1.12587494897054,2.03657722473144,1.77344399103458,4.93589616473656
205541,"Bissonnette Pond",48,45,0.481846405384528,0,0.769416648894548,1.25126305427908
212663,"Wangumbaug Lake",374,126,7.6116450967884,2.09277081489563,8.60822095409821,18.3126368657822
211846,"Washining Lake",565,122,4.03604053399331,3.76343488693237,9.72849827118989,17.5279736921156
208076,"Indian Lake",196,79,0.667906392157367,0.926350235939026,1.62671204041544,3.22096866851183
212628,"Halls Pond",18,38,0.572622102015555,0.677992880344391,0.670981968472915,1.92159695083286
211991,"West Side Pond",40,28,0.514348854269896,0.428571879863739,0.45668711941471,1.39960785354834
210284,"Rogers Lake",275,135,7.42042270150936,4.78223514556885,9.84855609177066,22.0512139388489
210056,"Quinebaug Pond",71,48,0.074944249782849,0,0.341326810419559,0.416271060202408
207133,"Ford Pond",23,25,0.114871417065824,0,0.168027326464653,0.282898743530477
208387,"Lantern Hill Pond",20,21,0.184854658164691,0.766071081161499,1.31816707756298,2.26909281688916
205234,"Ball Pond",81,45,1.97957873667992,4.94572448730469,2.67316037567025,9.59846359965486
209057,"Morris Reservoir",131,86,0.019267889443599,0,0.878174543380737,0.897442432824336
211607,"Turkey Hill Reservoir",52,36,0,0.744229674339294,0,0.744229674339294
211255,"Streets Pond",83,73,0.362889235119411,0.305938065052032,1.02809352440454,1.69692082457598
1218571,"Killingly Pond",121,63,0.401650592064227,0.256553202867508,1.07856861223627,1.736772407168
205246,"Bantam Lake",956,225,10.2142300668439,7.50686264038086,7.59907582564733,25.3201685328721
209459,"Lake Of Isles",91,69,0.246586874970698,0.274216681718826,2.71644569933415,3.23724925602367
212146,"Williams Pond",250,126,2.17459917942753,0.932626903057098,2.72605084315728,5.83327692564191
209057,"Morris Reservoir",3,15,0.019267889443599,0,0.878174543380737,0.897442432824336
205168,"Avery Pond",46,29,0.432260521369617,0.569612443447113,0.507890500826761,1.50976346564349
208576,"Long Pond",87,75,2.6237809648344,3.74416756629944,5.20482879796327,11.5727773290971
210299,"Roseland Lake",96,49,0.682732471623096,0.00211534416303,1.649570744019,2.33441855980513
209129,"Mudge Pond",211,72,0.17372896180423,2.767165184021,1.59612872142316,4.53702286724838
211197,"Stillwater Pond",93,73,0.15787483906631,3.56563687324524,0.677275415509939,4.40078712782149
205459,"Beseck Lake",113,61,3.29432037207254,2.50736451148987,6.16278224669441,11.9644671302568
207823,"Highland Lake",448,186,12.8144673845145,14.7861337661743,29.4222069438183,57.0228080945071
209036,"Morey Pond",30,31,0,5.98654890060425,0,5.98654890060425
207665,"Hanover Reservoir",23,32,0.355409254798977,0.880407691001892,0.652444632327388,1.88826157812826
209411,"Norwich Pond",29,26,0.218025433588681,0.111886143684387,0,0.329911577273068
211561,"Lake Triangle",49,52,0.354285195344944,0.405280023813248,1.62667649443756,2.38624171359575
207883,"Holbrook Pond",69,40,0,0.309195816516876,0.558755218982697,0.867951035499573
211956,"West Hill Pond",246,80,3.88119402344156,0.459256201982498,7.08582485187799,11.426275077302
206392,"Columbia Lake",277,98,7.79323671792491,3.02254009246826,7.7456472111453,18.5614240215385
205555,"Black Pond",35,34,0.008236204340371,0.462443768978119,0.813577950000763,1.28425792331925
211730,"Versailles Pond",57,53,0.607216766952491,2.78496146202087,0.939486247316381,4.33166447628975
210137,"Red Cedar Lake",133,68,2.6646182568792,0.923875212669373,2.2570916755576,5.84558514510617
208569,"Long Meadow Pond",101,82,2.61957636539774,1.68995332717896,3.49151781126784,7.80104750384453
208330,"Knowlton Pond",111,85,0.009140034623114,1.01324284076691,0.049525011330843,1.07190788672086
212624,"Eagleville Pond",80,72,0.588845761442645,1.16512715816498,0.843015763675794,2.59698868328342
208223,"Keach Pond",30,34,0.215236016615713,0.470291405916214,0.27282682841178,0.958354250943707
210953,"Somersville Pond",41,83,0.615245426177506,1.02613842487335,1.01533499626385,2.6567188473147
210190,"Riga Lake",156,73,0.37326251388451,0.094031311571598,0.285716837504879,0.753010662960987
211001,"South Pond",138,109,0.470837989371008,1.21786248683929,0.107365772651974,1.79606624886228
211651,"Uncas Pond",37,35,0.480454179224025,0.069343566894531,0.463515479117632,1.01331322523619
209870,"Pocotopaug Lake",502,132,12.9560758873824,8.86497783660889,12.6503581187324,34.4714118427237
