GNIS_ID,GNIS_Name,area_acre,area_buffe,building_acres,road_acres,other_impervious_acres,total_impervious_acres,total_impervious_percent,Latitude,Longitude
208569,Long Meadow Pond,101,82,2.619576365,1.689953327,3.491517811,7.801047504,9.513472566,41.65365,-73.210217
208330,Knowlton Pond,111,85,0.009140035,1.013242841,0.049525011,1.071907887,1.261068102,41.8343,-72.1923
212624,Eagleville Pond,80,72,0.588845761,1.165127158,0.843015764,2.596988683,3.606928727,41.7851,-72.2816
208223,Keach Pond,30,34,0.215236017,0.470291406,0.272826828,0.958354251,2.818688973,41.9701,-72.0878
210953,Somersville Pond,41,83,0.615245426,1.026138425,1.015334996,2.656718847,3.200866081,41.9825,-72.4875
210190,Riga Lake,156,73,0.373262514,0.094031312,0.285716838,0.753010663,1.031521456,42.021,-73.4816
211001,South Pond,138,109,0.470837989,1.217862487,0.107365773,1.796066249,1.647767201,42.0104,-73.4827
211651,Uncas Pond,37,35,0.480454179,0.069343567,0.463515479,1.013313225,2.895180644,41.3728,-72.3188
209870,Pocotopaug Lake,502,132,12.95607589,8.864977837,12.65035812,34.47141184,26.11470594,41.5999,-72.4953
208851,Messerschmidt Pond,82,59,0.02584907,1.338900208,0.072471209,1.437220487,2.435966928,41.33891,-72.48376
207425,Grays Pond,4,11,0.296499054,0.238652706,0.330949095,0.866100855,7.873644139,41.139,-73.62286
209671,Peat Swamp Reservoir,61,56,0,1.330848575,0,1.330848575,2.376515312,41.3702,-73.0592
208339,Lake Konomoc,289,140,0.339637399,1.582370281,1.436857821,3.358865502,2.399189644,41.4114,-72.1783
209639,Pattagansett Lake,126,86,2.552403791,2.124547005,3.545496498,8.222447293,9.560985225,41.37493,-72.22935
206703,Doaneville Pond,68,51,1.212161306,0.87071985,2.881296565,4.964177721,9.733681806,41.5655,-71.8744
211799,Wangum Lake,178,76,0.015252659,1.349109173,0.117719561,1.482081392,1.950107095,41.975,-73.2653
1770751,Lake Plymouth,45,32,4.119094684,4.075380802,2.962960555,11.15743604,34.86698763,41.6512,-73.0449
207536,Groton Reservoir,195,140,1.08026196,7.880317688,4.850997523,13.81157717,9.865412265,41.351,-72.0352
205507,Billings Lake,95,60,0.780911141,0.587516963,1.258168743,2.626596848,4.377661413,41.508,-71.875
205500,Bigelow Pond,26,36,0,0.360889614,0.290337235,0.651226848,1.808963468,41.9928,-72.131
205330,Beachdale Pond,37,54,0.332219222,0.298848361,0.876328643,1.507396226,2.791474492,41.5793,-71.86052
