OBJECTID,GNIS_ID,FREQUENCY,SUM_Join_C,SUM_area_r
1,00205058,1,8.000000000000000,12.437799453735352
2,00205108,1,1.000000000000000,0.357156544923782
3,00206252,1,3.000000000000000,5.028252124786377
4,00206553,1,1.000000000000000,1.247851133346558
5,00206648,1,1.000000000000000,0.417951226234436
6,00207425,1,1.000000000000000,0.238654196262360
7,00207712,1,7.000000000000000,6.722253799438477
8,00208387,1,3.000000000000000,5.902192115783691
9,00208753,1,1.000000000000000,0.486835956573486
10,00208851,2,5.000000000000000,10.324848413467407
11,00209036,4,4.000000000000000,0.663542927948583
12,00209096,2,8.000000000000000,30.691229820251465
13,00209459,1,11.000000000000000,22.193069458007813
14,00209671,1,1.000000000000000,1.330805897712708
15,00210284,1,6.000000000000000,18.100267410278320
16,00210299,1,1.000000000000000,0.002115345094353
17,00210654,2,4.000000000000000,14.056713104248047
18,00211112,1,5.000000000000000,15.045006752014160
19,00211255,1,1.000000000000000,0.305936604738235
20,00211388,2,16.000000000000000,29.338518619537354
21,00211561,1,1.000000000000000,0.405295282602310
22,00211607,1,6.000000000000000,13.808313369750977
23,00211846,1,1.000000000000000,3.763545751571655
24,00212002,3,20.000000000000000,28.307091712951660
25,00212146,2,2.000000000000000,0.102862252853811
26,00212183,2,16.000000000000000,42.938594818115234
27,00212322,2,2.000000000000000,0.025709715531775
28,01770751,1,1.000000000000000,4.075247764587402
