OBJECTID,GNIS_ID,FREQUENCY,SUM_Join_C,SUM_area_r
1,00205028,1,1.000000000000000,0.401948183774948
2,00205058,1,1.000000000000000,4.550895214080811
3,00205089,1,1.000000000000000,1.791121602058411
4,00205108,1,1.000000000000000,0.357167422771454
5,00205168,1,1.000000000000000,0.569612443447113
6,00205234,1,1.000000000000000,4.945724487304688
7,00205246,1,1.000000000000000,7.506862640380859
8,00205292,1,2.000000000000000,3.232310533523560
9,00205328,1,1.000000000000000,2.350347042083740
10,00205330,1,1.000000000000000,0.298848360776901
11,00205357,1,1.000000000000000,0.755097210407257
12,00205459,1,1.000000000000000,2.507364511489868
13,00205495,1,1.000000000000000,0.697013139724731
14,00205500,1,1.000000000000000,0.360889613628387
15,00205507,1,1.000000000000000,0.587516963481903
16,00205555,1,1.000000000000000,0.462443768978119
17,00205866,1,1.000000000000000,0.494568645954132
18,00206060,1,1.000000000000000,0.396519035100937
19,00206085,1,1.000000000000000,2.161430597305298
20,00206160,1,1.000000000000000,3.560043096542358
21,00206252,1,1.000000000000000,1.834938287734985
22,00206392,1,1.000000000000000,3.022540092468262
23,00206553,1,1.000000000000000,2.418401956558228
24,00206648,1,1.000000000000000,0.417944312095642
25,00206703,1,2.000000000000000,0.870719850063324
26,00207253,1,1.000000000000000,1.159413099288940
27,00207318,1,3.000000000000000,1.427806973457336
28,00207373,1,1.000000000000000,3.132627487182617
29,00207425,1,1.000000000000000,0.238652706146240
30,00207478,1,1.000000000000000,0.896287798881531
31,00207536,1,1.000000000000000,7.880317687988281
32,00207665,1,1.000000000000000,0.880407691001892
33,00207711,1,1.000000000000000,1.936311721801758
34,00207712,1,1.000000000000000,0.153691396117210
35,00207749,1,1.000000000000000,6.084040164947510
36,00207823,1,1.000000000000000,14.786133766174316
37,00207883,1,1.000000000000000,0.309195816516876
38,00208076,1,1.000000000000000,0.926350235939026
39,00208223,1,1.000000000000000,0.470291405916214
40,00208263,1,1.000000000000000,1.042517542839050
41,00208330,1,1.000000000000000,1.013242840766907
42,00208339,1,1.000000000000000,1.582370281219482
43,00208387,1,1.000000000000000,0.766071081161499
44,00208569,1,1.000000000000000,1.689953327178955
45,00208576,1,1.000000000000000,3.744167566299438
46,00208753,1,1.000000000000000,0.486818283796310
47,00208851,1,1.000000000000000,1.338900208473206
48,00209014,1,2.000000000000000,5.021808147430420
49,00209030,1,1.000000000000000,1.887674808502197
50,00209036,1,1.000000000000000,5.986548900604248
51,00209045,1,1.000000000000000,1.391877412796021
52,00209096,1,1.000000000000000,2.036577224731445
53,00209129,1,1.000000000000000,2.767165184020996
54,00209411,1,1.000000000000000,0.111886143684387
55,00209459,1,1.000000000000000,0.274216681718826
56,00209579,1,2.000000000000000,3.966820001602173
57,00209620,1,1.000000000000000,0.687936246395111
58,00209639,1,1.000000000000000,2.124547004699707
59,00209643,1,1.000000000000000,0.106221459805965
60,00209671,1,1.000000000000000,1.330848574638367
61,00209680,1,1.000000000000000,0.731953918933868
62,00209870,1,1.000000000000000,8.864977836608887
63,00210050,1,1.000000000000000,2.468087911605835
64,00210073,1,1.000000000000000,6.719063282012939
65,00210137,1,1.000000000000000,0.923875212669373
66,00210190,1,1.000000000000000,0.094031311571598
67,00210284,1,1.000000000000000,4.782235145568848
68,00210299,1,1.000000000000000,0.002115344163030
69,00210654,1,1.000000000000000,8.798957824707031
70,00210861,1,1.000000000000000,2.796984434127808
71,00210953,1,1.000000000000000,1.026138424873352
72,00211001,1,1.000000000000000,1.217862486839294
73,00211112,1,1.000000000000000,4.480506896972656
74,00211197,1,1.000000000000000,3.565636873245239
75,00211255,1,1.000000000000000,0.305938065052032
76,00211388,1,1.000000000000000,1.716850876808167
77,00211561,1,1.000000000000000,0.405280023813248
78,00211607,1,1.000000000000000,0.744229674339294
79,00211651,1,1.000000000000000,0.069343566894531
80,00211730,1,1.000000000000000,2.784961462020874
81,00211799,1,1.000000000000000,1.349109172821045
82,00211809,1,1.000000000000000,17.522455215454102
83,00211846,1,1.000000000000000,3.763434886932373
84,00211956,1,1.000000000000000,0.459256201982498
85,00211991,1,1.000000000000000,0.428571879863739
86,00212002,1,1.000000000000000,0.261152684688568
87,00212146,1,1.000000000000000,0.932626903057098
88,00212183,1,1.000000000000000,0.669341742992401
89,00212296,1,1.000000000000000,1.891338348388672
90,00212322,2,2.000000000000000,15.773790359497070
91,00212624,1,1.000000000000000,1.165127158164978
92,00212628,1,1.000000000000000,0.677992880344391
93,00212663,1,1.000000000000000,2.092770814895630
94,00212900,1,1.000000000000000,1.249613046646118
95,01218571,1,1.000000000000000,0.256553202867508
96,01770751,1,1.000000000000000,4.075380802154541
97,01771176,1,1.000000000000000,1.320230603218079
98,01771346,1,1.000000000000000,1.361139059066772
