STA_SEQ,YLat,XLong,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,HydroID,DrainID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,bcg2_basin
15706,41.5168,-72.73,205459,Beseck Lake,0.457,315,106001880,106001880,3,5.24,2.21,3,11.55,6520,27154,0,4.164723926,2.743037856,0.038208855,17.87049091,0,467.7054872,0,0.572519084,2,3,3,1,9,3,
18156,41.911818,-73.09428,207823,Highland Lake,1.814,881,105001802,105001802,3,12.56,7.01,4,7.7,20443,40719,0,1.991830945,0.916470764,0.089331658,11.91366061,0,133.3643742,0,0.318471338,1,3,3,1,8,2,
19346,41.96,-72.192,209036,Morey Pond,0.123,957,107003230,107003230,2,2.479874,0.760328,1,0,2199,6873,0,3.125511596,1,0.006292501,0,0,0,0,0.403246294,2,1,3,1,7,2,
19350,41.38518,-72.30211,209411,Norwich Pond,0.119,0,106000795,106000795,2,1.87,0.72,0,0,2136,117,0,0.054775281,19.44444444,0.02625752,0,0,0,0,0,1,1,1,1,4,1,
16165,41.877022,-73.043053,211956,West Hill Pond,0.994,938,105001642,105001642,2,2.44,1.26,1,0,3683,4363,0,1.184632093,0,0.001142247,0,0,0,0,0.409836066,1,1,3,1,6,2,1
18201,41.711559,-72.330422,206392,Columbia Lake,1.122,498,107000614,107000614,1,2.707391,3.085001,1,0,8887,12226,0,1.37571734,1,0.034459175,0,0,0,0,0.369359284,1,1,3,1,6,2,
18150,41.524516,-72.743136,205555,Black Pond,0.142,381,106000864,106000864,3,10.38,3.252783,1,0,9656,4567,0,0.472970174,3.739487946,0.071409235,0,0,0,0,0.096339114,1,1,2,1,5,1,1
18954,41.55946,-72.22971,210137,Red Cedar Lake,0.538,440,108000482,108000482,1,1.320439,0.703383,1,0,2016,1419,0,0.703869048,19.00587479,0.025231988,0,0,0,0,0.75732389,1,1,3,1,6,2,
18376,41.65365,-73.210217,208569,Long Meadow Pond,0.41,894,103011095,103011095,2,3.5,1.74148502,1,0,5164,6278,0,1.215724245,1.148445136,0.018453476,0,0,0,0,0.285714286,1,1,3,1,6,2,
15868,41.7851,-72.2816,212624,Eagleville Pond,0.322,277,107001462,107001462,5,312.48994,110.688188,37,16.81,318510,559752,5,1.757407931,10.93973345,8.87955204,26.00507,7.735,2.928646612,0.871102502,0.118403812,1,3,3,3,10,3,
15864,42.021,-73.4816,210190,Riga Lake,0.631,533,103003393,103003393,2,3.4,2.34,0,0,6896,78,0,0.011310905,0,0.002421949,0,0,0,0,0,1,1,1,1,4,1,1
16012,41.3728,-72.3188,211651,Uncas Pond,0.15,49,106000763,106000763,3,4.26,1.59,0,0,4737,209,0,0.044120752,12.07402682,0.054043712,0,0,0,0,0,1,1,1,1,4,1,
14614,41.5961,-72.5081,209870,Pocotopaug Lake,2.033,465,106002345,106002345,3,14.69,5.392517,2,0,15760,97812,0,6.206345178,0.155652794,0.026598524,0,0,0,0,0.136147039,3,1,3,1,8,2,1
14615,41.5999,-72.4953,209870,Pocotopaug Lake,2.033,465,106002345,106002345,3,14.69,5.392517,2,0,15760,97812,0,6.206345178,0.155652794,0.026598524,0,0,0,0,0.136147039,3,1,3,1,8,2,1
18377,41.33891,-72.48376,208851,Messerschmidt Pond,0.33,178,106000560,106000560,4,15.48,4.483886,2,0,13400,10690,0,0.797761194,0.567171356,0.040777415,0,0,0,0,0.129198966,1,1,3,1,6,2,
